option_type,ranges,n_loser,n_winner,variable,percent_winner
call,"(18,37]",148,497,open_interest,77.1
call,"(417,552]",167,497,volume,74.8
call,"(0.689,0.836]",198,548,implied_volatility,73.5
call,"[0,1.09e+03]",249,990,buy_amount,79.9
call,"(11,18]",16,161,days_to_high,91
call,"(0.193,0.266]",173,460,delta,72.7
call,"(0.14,1.01]",87,275,gamma,76
call,"(-0.128,0.0645]",73,216,rho,74.7
call,"(-0.0696,-0.0466]",99,252,theta,71.8
call,"(0.0108,0.0163]",96,265,vega,73.4
put,"(18,37]",213,488,open_interest,69.6
put,"(312,417]",214,463,volume,68.4
put,"(417,552]",215,465,volume,68.4
put,"(0.42,0.487]",212,481,implied_volatility,69.4
put,"[0,1.09e+03]",273,837,buy_amount,75.4
put,"(0.162,1]",54,168,days_to_high,75.7
put,"(-0.0997,0.101]",98,246,delta,71.5
put,"(0.14,1.01]",88,183,gamma,67.5
put,"(-0.494,-0.128]",204,429,rho,67.8
put,"(-0.0058,0]",93,188,theta,66.9
put,"[0,0.0062]",98,188,vega,65.7